vorname,geschlecht,nachname,beruf_m,beruf_w
Elena,w,Rossi,Krankenpfleger,Krankenschwester
Sofia,w,Moretti,Lehrer,Lehrerin
Luca,m,Esposito,Elektroniker,Elektronikerin
Mateo,m,Rinaldi,Polizist,Polizistin
Camille,w,Lefevre,Sozialarbeiter,Sozialarbeiterin
David,m,Moreau,Physiotherapeut,Physiotherapeutin
Aurora,w,Varga,Dolmetscher,Dolmetscherin
Isabella,w,Schreiber,Modedesigner,Modedesignerin
Jonas,m,Dimitrov,Bauingenieur,Bauingenieurin
Chiara,w,Donati,Kunsttherapeut,Kunsttherapeutin
Gabriel,m,Romano,Mechaniker,Mechanikerin
Mara,w,Novak,Pharmazeut,Pharmazeutin
Noah,m,Santoro,Sanitäter,Sanitäterin
Julia,w,Bianchi,Journalist,Journalistin
Adrian,m,Abramovic,Informatiker,Informatikerin
Amelie,w,Martens,Krankenpfleger,Krankenschwester
Fabian,m,D’Amico,Architekt,Architektin
Alina,w,Kowalska,Erzieher,Erzieherin
Milan,m,Petrovic,Krankenpfleger,Krankenpflegerin
Leyla,w,Arslan,Sozialpädagoge,Sozialpädagogin
Emilio,m,Fernandez,Sicherheitsfachkraft,Sicherheitsfachkraft
Kiara,w,Russo,Verwaltungsangestellter,Verwaltungsangestellte
Malik,m,Idrissi,Buchhalter,Buchhalterin
Selin,w,Haddad,Rechtsanwaltsfachangestellter,Rechtsanwaltsfachangestellte
Karim,m,Salim,Techniker,Technikerin
Clara,w,Weissenborn,Kunsttherapeut,Kunsttherapeutin
Felix,m,Brandauer,Betriebswirt,Betriebswirtin
Nina,w,Thalberg,Lehrer,Lehrerin
Moritz,m,Langhoff,Ingenieur,Ingenieurin
Hannah,w,Krüger,Sozialarbeiter,Sozialarbeiterin
Sebastian,m,Heidenreich,Kfz-Mechatroniker,Kfz-Mechatronikerin
Greta,w,Altmann,Entbindungspfleger,Hebamme
Leon,m,Bergmann,Elektriker,Elektrikerin
Luisa,w,Dornfeld,Apotheker,Apothekerin
Paul,m,Lindenau,Krankenpfleger,Krankenpflegerin
Miriam,w,Steinacker,Dolmetscher,Dolmetscherin
Simon,m,Behrens,Physiotherapeut,Physiotherapeutin
Claudia,w,Falkenberg,Lehrer,Lehrerin
Johannes,m,Birkenfeld,Sanitäter,Sanitäterin
Theresa,w,Reinhardt,Apotheker,Apothekerin
Niklas,m,Rosenberg,Techniker,Technikerin
Friederike,w,Seidel,Entbindungspfleger,Hebamme
Oliver,m,Bernhardt,Informatiker,Informatikerin
Verena,w,Dahlmann,Sozialpädagoge,Sozialpädagogin
Jakob,m,Eisenberg,Mechaniker,Mechanikerin
Carla,w,Friedenthal,Bürokaufmann,Bürokauffrau
Till,m,Grunwald,Bauleiter,Bauleiterin
Marlene,w,Luxenberg,Verwaltungsangestellter,Verwaltungsangestellte
Henrik,m,Altenhof,Buchhalter,Buchhalterin
Sophia,w,Riedinger,Pharmazeut,Pharmazeutin
